,column_i,column_j,solution_value
0,0,0,19.0
1,0,1,18.0
2,0,2,5.0
3,0,3,7.0
4,0,4,13.0
5,1,0,18.0
6,1,1,7.0
7,1,2,10.0
8,1,3,17.0
9,1,4,9.0
10,2,0,2.0
11,2,1,18.0
12,2,2,13.0
13,2,3,4.0
14,2,4,12.0
15,3,0,12.0
16,3,1,12.0
17,3,2,1.0
18,3,3,13.0
19,3,4,3.0
20,4,0,2.0
21,4,1,20.0
22,4,2,0.0
23,4,3,4.0
24,4,4,10.0
